O 0 0 -X- -X- -DOCSTART- x x 0
O 0 0 0 0 Barack 0 0 0
O 0 0 0 0 Hussein 0 0 0
O 0 0 0 0 Obama 0 0 0
O 0 0 0 0 , 0 0 0
O 0 0 0 0 an 0 0 0
O 0 0 0 0 American 0 0 0
O 0 0 0 0 politician 0 0 0
O 0 0 0 0 serving 0 0 0
O 0 0 0 0 as 0 0 0
O 0 0 0 0 the 0 0 0
O 0 0 0 0 44th 0 0 0
O 0 0 0 0 President 0 0 0
O 0 0 0 0 of 0 0 0
O 0 0 0 0 the 0 0 0
O 0 0 0 0 United 0 0 0
O 0 0 0 0 States 0 0 0
O 0 0 0 0 , 0 0 0
O 0 0 0 0 graduated 0 0 0
O 0 0 0 0 from 0 0 0
O 0 0 0 0 Columbia 0 0 0
O 0 0 0 0 University 0 0 0
O 0 0 0 0 and 0 0 0
O 0 0 0 0 Harvard 0 0 0
O 0 0 0 0 Law 0 0 0
O 0 0 0 0 School 0 0 0
O 0 0 0 0 , 0 0 0
O 0 0 0 0 where 0 0 0
O 0 0 0 0 he 0 0 0
O 0 0 0 0 served 0 0 0
O 0 0 0 0 as 0 0 0
O 0 0 0 0 president 0 0 0
O 0 0 0 0 of 0 0 0
O 0 0 0 0 the 0 0 0
O 0 0 0 0 Harvard 0 0 0
O 0 0 0 0 Law 0 0 0
O 0 0 0 0 Review 0 0 0
O 0 0 0 0 . 0 0 0
